"TOA5","5_Bradford_LB","CR800","34503","CR800.Std.32.05","CPU:5_hourly_08022023.CR8","28982","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM"
"TS","RN","Volts","ppm","ppm","ppbQ"
"","","Min","Smp","Smp","Smp"
"2023-08-02 09:44:20",0,13.96,462.0573,470.4361,38.24174
"2023-08-02 09:44:30",1,13.95,111.5804,77.24797,38.15004
"2023-08-02 09:44:40",2,13.95,145.9128,97.68394,38.24174
"2023-08-02 09:44:50",3,13.94,133.0382,90.32699,38.42513
"2023-08-02 09:45:00",4,13.94,133.0382,91.55315,38.42513
"2023-08-02 09:45:10",5,13.91,8119.62,5247.14,38.28759
"2023-08-02 09:45:20",6,13.87,21008.59,4091.69,38.19589
"2023-08-02 09:45:30",7,13.76,21007.16,4087.603,38.15004
"2023-08-02 09:45:40",8,13.73,21010.02,4102.726,37.9208
"2023-08-02 09:45:50",9,13.71,21010.02,4124.388,38.24174
"2023-08-02 09:46:00",10,13.72,21011.45,4138.284,38.37928
"2023-08-02 09:46:10",11,13.72,21008.59,4160.355,38.56268
"2023-08-02 09:46:20",12,13.74,21008.59,4173.434,38.47098
"2023-08-02 10:00:00",13,14.1,978.4742,258.3107,36.72555
"2023-08-02 11:00:00",14,14.34,10026.5,4166.486,37.0928
"2023-08-02 12:00:00",15,14.21,9839.103,4195.914,37.22935
"2023-08-02 13:00:00",16,13.59,9670.301,4213.488,37.45891
"2023-08-02 14:00:00",17,13.61,9442.849,4217.576,37.68848
"2023-08-02 15:00:00",18,13.65,9268.325,4238.012,37.4581
"2023-08-02 16:00:00",19,13.59,9178.203,4262.535,37.36809
"2023-08-02 17:00:00",20,13.71,8995.097,4244.551,37.04594
"2023-08-02 18:00:00",21,13.57,8840.601,4258.448,36.86466
"2023-08-02 19:00:00",22,13.05,8779.089,4255.586,36.91019
"2023-08-02 20:00:00",23,12.92,8630.314,4239.646,36.81829
"2023-08-02 21:00:00",24,12.9,8653.203,4255.995,36.68579
"2023-08-02 22:00:00",25,12.88,8543.053,4231.881,36.50372
"2023-08-02 23:00:00",26,12.86,8504.429,4227.385,36.32016
"2023-08-03 00:00:00",27,12.85,8541.622,4239.238,36.18342
"2023-08-03 01:00:00",28,12.83,8490.124,4222.889,36.09187
"2023-08-03 02:00:00",29,12.78,8378.543,4199.592,35.90844
"2023-08-03 03:00:00",30,12.77,8309.879,4191.826,35.86307
"2023-08-03 04:00:00",31,12.77,8248.366,4186.513,35.86288
"2023-08-03 05:00:00",32,12.78,8183.993,4178.748,35.72557
"2023-08-03 06:00:00",33,12.79,8126.772,4166.895,35.67999
"2023-08-03 07:00:00",34,12.85,8073.843,4155.859,35.54242
"2023-08-03 08:00:00",35,13.15,8056.677,4158.72,35.54106
"2023-08-03 09:00:00",36,13.37,8082.426,4188.557,35.35021
"2023-08-03 10:00:00",37,13.58,8036.649,4205.723,35.35004
