Date,Rep,V,FDOM,CO2
1/12/2023 15:00,0,13.03,79.19805,
1/12/2023 16:00,1,13.05,78.45645,
1/12/2023 17:00,2,13.06,78.15848,
1/12/2023 18:00,3,13.04,78.64211,
1/12/2023 19:00,4,13.06,78.6951,
1/12/2023 20:00,5,13.06,78.38507,
1/12/2023 21:00,6,13.06,78.81342,
1/12/2023 22:00,7,13.05,78.93342,
1/12/2023 23:00,8,13.04,78.40383,
1/13/2023 0:00,9,13.03,78.35216,
1/13/2023 1:00,10,13.03,79.15872,
1/13/2023 2:00,11,13.02,79.26546,
1/13/2023 3:00,12,13.01,79.79562,
1/13/2023 4:00,13,13,79.69941,
1/13/2023 5:00,14,13,80.28642,
1/13/2023 6:00,15,12.99,80.28645,
1/13/2023 7:00,16,12.98,80.28645,
1/13/2023 8:00,17,12.98,79.97148,
1/13/2023 9:00,18,12.97,79.65348,
1/13/2023 10:00,19,12.96,79.7035,
1/13/2023 11:00,20,12.93,80.07437,
1/13/2023 12:00,21,12.88,80.92754,
1/13/2023 13:00,22,12.86,80.76232,
1/13/2023 14:00,23,12.76,80.2085,
1/13/2023 15:00,24,12.74,79.34575,
1/13/2023 16:00,25,12.92,77.95334,
1/13/2023 17:00,26,12.92,77.38228,
1/13/2023 18:00,27,12.95,77.28005,
1/13/2023 19:00,28,12.96,77.5556,
1/13/2023 20:00,29,12.97,78.03278,
1/13/2023 21:00,30,12.97,78.41609,
1/13/2023 22:00,31,12.96,77.94006,
1/13/2023 23:00,32,12.95,77.42254,
1/14/2023 0:00,33,12.94,77.84729,
1/14/2023 1:00,34,12.94,79.12232,
1/14/2023 2:00,35,12.93,78.90891,
1/14/2023 3:00,36,12.92,79.7078,
1/14/2023 4:00,37,12.91,79.9856,
1/14/2023 5:00,38,12.91,80.04845,
1/14/2023 6:00,39,12.9,79.7303,
1/14/2023 7:00,40,12.9,80.63371,
1/14/2023 8:00,41,12.89,80.6443,
1/14/2023 9:00,42,12.88,81.3885,
1/14/2023 10:00,43,12.87,81.33545,
1/14/2023 11:00,44,12.84,81.86597,
1/14/2023 12:00,45,12.79,82.07818,
1/14/2023 13:00,46,12.79,81.72267,
1/14/2023 14:00,47,12.69,80.85519,
1/14/2023 15:00,48,12.68,79.55836,
1/14/2023 16:00,49,12.86,78.16528,
1/14/2023 17:00,50,12.86,77.47638,
1/14/2023 18:00,51,12.89,76.99947,
1/14/2023 19:00,52,12.91,77.05896,
1/14/2023 20:00,53,12.92,77.59551,
1/14/2023 21:00,54,12.92,77.97939,
1/14/2023 22:00,55,12.92,69.92867,
1/14/2023 23:00,56,12.91,69.35143,
1/15/2023 0:00,57,12.9,65.06539,
1/15/2023 1:00,58,12.89,71.43124,
1/15/2023 2:00,59,12.88,2.966053,
1/15/2023 3:00,60,12.87,77.84871,
1/15/2023 4:00,61,12.86,52.55659,
1/15/2023 5:00,62,12.86,52.4071,
1/15/2023 6:00,63,12.85,52.09472,
1/15/2023 7:00,64,12.85,52.25393,
1/15/2023 8:00,65,12.84,52.04176,
1/15/2023 9:00,66,12.84,50.40097,
1/15/2023 10:00,67,12.82,52.68465,
1/15/2023 11:00,68,12.79,52.73902,
1/15/2023 12:00,69,12.75,52.73155,
1/15/2023 13:00,70,12.75,52.50159,
1/15/2023 14:00,71,12.67,52.15911,
1/15/2023 15:00,72,12.66,51.29665,
1/15/2023 16:00,73,12.82,50.43023,
1/15/2023 17:00,74,12.82,49.37528,
1/15/2023 18:00,75,12.84,49.69312,
1/15/2023 19:00,76,12.85,48.89922,
1/15/2023 20:00,77,12.86,49.81539,
1/15/2023 21:00,78,12.87,50.18695,
1/15/2023 22:00,79,12.86,53.58498,
1/15/2023 23:00,80,12.85,51.5214,
1/16/2023 0:00,81,12.85,66.37113,
1/16/2023 1:00,82,12.84,66.85033,
1/16/2023 2:00,83,12.83,66.54144,
1/16/2023 3:00,84,12.82,64.3149,
1/16/2023 4:00,85,12.82,62.35781,
1/16/2023 5:00,86,12.81,61.46249,
1/16/2023 6:00,87,12.8,59.28848,
1/16/2023 7:00,88,12.79,60.29596,
1/16/2023 8:00,89,12.79,60.5638,
1/16/2023 9:00,90,12.79,60.82673,
1/16/2023 10:00,91,12.78,60.77321,
1/16/2023 11:00,92,12.76,61.88673,
1/16/2023 12:00,93,12.72,62.14889,
1/16/2023 13:00,94,12.72,61.65286,
1/16/2023 14:00,95,12.65,60.83377,
1/16/2023 15:00,96,12.64,60.28028,
1/16/2023 16:00,97,12.76,59.73742,
1/16/2023 17:00,98,12.76,58.89159,
1/16/2023 18:00,99,12.78,58.84468,
1/16/2023 19:00,100,12.79,58.84914,
1/16/2023 20:00,101,12.8,58.95941,
1/16/2023 21:00,102,12.8,60.1814,
1/16/2023 22:00,103,12.8,65.90294,
1/16/2023 23:00,104,12.79,67.35086,
1/17/2023 0:00,105,12.79,65.44782,
1/17/2023 1:00,106,12.78,72.49538,
1/17/2023 2:00,107,12.78,73.60815,
1/17/2023 3:00,108,12.78,73.02526,
1/17/2023 4:00,109,12.77,73.29021,
1/17/2023 5:00,110,12.77,73.44918,
