sample,eem_location,abs_location,dilution
B1S1S1,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B1S1S1.csv,11
B1S2S2,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B1S2S2.csv,11
B1S3S3,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B1S3S3.csv,11
B1S4S4,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B1S4S4.csv,11
B1S5S5,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B1S5S5.csv,11
B2S10S10,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B2S10S10.csv,11
B2S6S6,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B2S6S6.csv,11
B2S7S7,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B2S7S7.csv,11
B2S8S8,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B2S8S8.csv,11
B2S9S9,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/abs/02132024/B2S9S9.csv,11
B2S9S9_blank,Z:/Bradford_Forest_Project/Howley_Bradford_Streams/Aqualog_processing/projects/Bradford Streams/eem/02132024,NA,
